       1         2   .2578409858808331E+01   .2850539352473492E+01
       1         3   .4264735994173614E+01   .4714843040865730E+01
       1         4   .3998461854263465E+01   .4420465903046876E+01
       1         5   .5414498287006835E+01   .5985953082007906E+01
       2         3   .2770855120716343E+01   .3063295594617009E+01
       2         4   .2292529650844239E+01   .2534486890871603E+01
       2         5   .4372019613405232E+01   .4833449544579941E+01
       2         6   .2112790122089747E+01   .2335777365246956E+01
       3         4   .1662752266574911E+01   .1838241795847327E+01
       3         5   .3188977422309539E+01   .3525547191571826E+01
       3         6   .2838792067059509E+01   .3138402714757938E+01
       3        17   .2245013875235515E+01   .2481956224432651E+01
       3        18   .3108738184537256E+01   .3436839376520235E+01
       3        19   .2762605509297338E+01   .3054175306035986E+01
       3        21   .2878557920209353E+01   .3182365519546741E+01
       4         5   .2219334427255164E+01   .2453566526507893E+01
       4         6   .3170947918209952E+01   .3505614824820324E+01
       4        17   .2570264072036182E+01   .2841533846358340E+01
       4        18   .2666172762594352E+01   .2947564893263590E+01
       5        18   .3236819689139327E+01   .3578438807636649E+01
       5        43   .3140690529167108E+01   .3472164022623349E+01
       5        44   .2162170159816291E+01   .2390369051004469E+01
       6         7   .2709364095133762E+01   .2995314708006486E+01
       6         8   .3330818683146830E+01   .3682358605567901E+01
       6         9   .2788921243061554E+01   .3083268444362250E+01
       6        17   .2635208094249863E+01   .2913332164378101E+01
       7         8   .2364857395277778E+01   .2614448220944526E+01
       7         9   .3868363723850175E+01   .4276637008211007E+01
       7        10   .2265451941666386E+01   .2504551357029837E+01
       8         9   .2385554652486500E+01   .2637329899728129E+01
       8        10   .2564461697900749E+01   .2835119080391508E+01
       8        12   .2644370586737039E+01   .2923461680952907E+01
       8        13   .3198293373035065E+01   .3535846362612496E+01
       9        13   .3101137162397040E+01   .3428436130366141E+01
       9        14   .2660335824665745E+01   .2941111915585663E+01
       9        16   .2799593988420465E+01   .3095067608308421E+01
       9        17   .2980317533418212E+01   .3294865004821900E+01
      10        11   .2657918903954744E+01   .2938439909203518E+01
      10        12   .2468106034999302E+01   .2728593886968153E+01
      11        19   .3143852000333348E+01   .3475659160504665E+01
      11        21   .3052987995390746E+01   .3375205223390129E+01
      11        22   .2366703213332837E+01   .2616488849584491E+01
      12        13   .2115572475714321E+01   .2338853372915889E+01
      12        14   .2508781277831929E+01   .2773562059878958E+01
      13        14   .2532736030461920E+01   .2800045035352111E+01
      14        15   .2666835146761040E+01   .2948297186512916E+01
      14        16   .2539884052471688E+01   .2807947471018645E+01
      14        17   .2133633450243971E+01   .2358820531536893E+01
      14        18   .3317645867177510E+01   .3667795509567022E+01
      14        19   .2445519699368627E+01   .2703623753409491E+01
      15        16   .2255075275905444E+01   .2493079521395180E+01
      15        17   .2878331704303726E+01   .3182115428453216E+01
      15        18   .2440902947681451E+01   .2698519742377290E+01
      15        34   .3211777218301420E+01   .3550753314439065E+01
      15        36   .2642388692073898E+01   .2921270613962357E+01
      16        17   .1688959768614994E+01   .1867215279500469E+01
      16        18   .1689177699355517E+01   .1867456210999336E+01
      17        18   .1688384967950145E+01   .1866579813455620E+01
      17        19   .2735575789481992E+01   .3024292826430673E+01
      19        20   .2646164280614490E+01   .2925444684146326E+01
      19        21   .2412065857309873E+01   .2666639139441258E+01
      19        22   .2263064669866952E+01   .2501912128752730E+01
      19        23   .4170355776189839E+01   .4610501783971019E+01
      19        24   .4165004705879692E+01   .4604585953155829E+01
      19        25   .5002263817513025E+01   .5530210728353845E+01
      19        26   .6051627855379075E+01   .6690326322385175E+01
      19        27   .7515655959395697E+01   .8308870290238021E+01
      19        28   .2558674832799192E+01   .2828721460306753E+01
      20        21   .2291508520603845E+01   .2533357988915113E+01
      20        22   .2874878101763622E+01   .3178297327186368E+01
      20        23   .3249110108937523E+01   .3592026377965508E+01
      20        24   .2310306213470411E+01   .2554139620302693E+01
      20        25   .3800814715294602E+01   .4201958769431226E+01
      20        26   .4880664309292334E+01   .5395777413867257E+01
      20        27   .6055915281772031E+01   .6695066250605741E+01
      20        40   .3207518433306350E+01   .3546045050475251E+01
      20        41   .3246288619331315E+01   .3588907103840948E+01
      20        42   .2632703667335157E+01   .2910563416247785E+01
      20        44   .2981811362242756E+01   .3296516494725910E+01
      21        22   .1662226879821168E+01   .1837660958936664E+01
      21        23   .2869095606632867E+01   .3171904538286110E+01
      21        24   .2536273348832893E+01   .2803955687952294E+01
      21        25   .2634420239825069E+01   .2912461158539281E+01
      21        26   .4216249565668519E+01   .4661239277273800E+01
      21        27   .5311367789938855E+01   .5871938027602126E+01
      22        23   .2239775569114013E+01   .2476165059118636E+01
      22        24   .2869479691512034E+01   .3172329160096726E+01
      22        25   .3495339382663722E+01   .3864243082416012E+01
      22        26   .3990131501592398E+01   .4411256351653122E+01
      22        27   .5624689271417574E+01   .6218327958543192E+01
      22        28   .2596143909724573E+01   .2870145083440903E+01
      23        24   .1662300243638313E+01   .1837742065688216E+01
      23        25   .2849945052101882E+01   .3150732803650605E+01
      23        26   .2071018010544575E+01   .2289596558348219E+01
      23        27   .3975487215424040E+01   .4395066484138776E+01
